Name,Sule,Sule Myodaw Hall,Yoke Shin Yone,Youk Lan,Youk Lann,Youk Lan 2,Kyauk Taing,U Htaung Bo,Bahan 3 Lan,Taung Phat Mote,A Shae Phat Mote,Pan Soe Tan,Bar Lan,Pan Soe Tan2,Railway,Kan Yeik Thar,Thein Gyi Zay,Kone Zay Tan,Bo Gyoke Zay,Phyar Lan,Phone Gyi Lan,San Pya,Tha Yet Taw,Pegu Club,Myaeni Gone,U Wisara,Shwedagon J,U Wisara Awine,Lanmadaw,PyaeAlone
Sule,0.0,0.27798731661137954,0.5449591417962711,0.9901500833241538,1.3109528574264457,1.1955350331281431,1.5980859795556717,2.3558540203124907,2.759688259785579,2.507082350671094,2.8193476933689734,0.30894449596674145,0.42342185529804716,0.6465519551900966,1.0816385838017315,2.160041250471249,0.6077581519638391,0.6770438432575816,0.8229156106203437,1.031300414322972,1.4931392971657669,1.5163189908692203,1.613563892277424,2.3719015965131525,3.606996620265261,1.4968397834398568,1.4325153172709895,2.642212051039079,1.2971358228660084,2.9118491995416673
Sule Myodaw Hall,0.27798731661137954,0.0,0.267080092859514,0.7123638474287382,1.0386257948176518,0.9192878257950827,1.3217817987022993,2.0791559900981214,2.48193098978171,2.2490650729851693,2.552948218148726,0.4080934208792617,0.3193865644959842,0.4315056817827675,0.8236862337969033,1.8873953857195447,0.6542901560316218,0.6072415186671684,0.6580200877655432,0.8153693299638738,1.5024165341515163,1.4772785441258753,1.519838030230637,2.200870709686555,3.389168207171003,1.2749100980819617,1.1831645462670626,2.4026342999045327,1.19414592280205,2.7146117945601524
Yoke Shin Yone,0.5449591417962711,0.267080092859514,0.0,0.44528904577762735,0.7842118520536867,0.6536581761376128,1.059020283110561,1.8151771956617262,2.215875374818898,2.011104806528476,2.3033566060607966,0.6113377546304166,0.4080904712688541,0.3195759542557279,0.5870883648069418,1.62481270415629,0.801817210152556,0.6641689969728484,0.5971127893280336,0.6631605887363943,1.5688172566979608,1.499029987487386,1.4848478471424407,2.0680557127193193,3.1961243820753813,1.0945617743093763,0.9651441573296701,2.187482730642654,1.161752782672218,2.547829503659492
Youk Lan,0.9901500833241538,0.7123638474287382,0.44528904577762735,0.0,0.40120915777571337,0.21751712345340532,0.6302877215107205,1.378497069308018,1.7734073259551826,1.6366035236908896,1.8994682212734137,1.0169119240320597,0.7675061724688859,0.5262291590582805,0.32111296022553315,1.1905420833188711,1.149994167767961,0.9398409870883424,0.7419781485008773,0.6213132915439693,1.7688683425614928,1.6378962323740218,1.535323507555111,1.9136098505703347,2.9032937368817726,0.8994358301583899,0.6871692016986582,1.8615686897558734,1.2441386374136834,2.3151514546259695
Youk Lann,1.3109528574264457,1.0386257948176518,0.7842118520536867,0.40120915777571337,0.0,0.3652851836222393,0.30933635131514053,1.0565663413904738,1.4733214921640674,1.2399851324885542,1.5195649145513899,1.3892344316607212,1.1534082869364801,0.9257146376762828,0.643466705133683,1.0440223072548689,1.3105868304237294,1.05745650256833,0.7936396876121632,0.5514658912061253,1.737896866421447,1.5574987027706335,1.3830304774407582,1.5856701086449752,2.506406865048845,0.5978172179800689,0.3413876325858149,1.4611278786820496,1.1460839635242097,1.9396377052906817
Youk Lan 2,1.1955350331281431,0.9192878257950827,0.6536581761376128,0.21751712345340532,0.3652851836222393,0.0,0.48667503518354843,1.2025931263733804,1.5837059693539388,1.5292718430592254,1.7610641144441361,1.1941422624276157,0.9339652064376122,0.6686185195418163,0.2875289823108044,0.9741842782915296,1.364331594104814,1.1469028183399548,0.9315093946473786,0.7681893520264856,1.9483449802502375,1.8008771355561592,1.6701131398455222,1.948977097089483,2.8451734300519766,0.9491011599231913,0.702699478898396,1.7905512451952124,1.39723135808543,2.300311659672041
Kyauk Taing,1.5980859795556717,1.3217817987022993,1.059020283110561,0.6302877215107205,0.30933635131514053,0.48667503518354843,0.0,0.7579966157513934,1.1687593451716052,1.0467737103001136,1.2765054591727394,1.6469848273520196,1.3968213947251518,1.1442040419945567,0.7633545913597727,0.7689633461731556,1.6196697928295862,1.365160943310195,1.0978260217678704,0.8431886729800107,2.006058332186192,1.808681308891533,1.6019956613384891,1.6400208353634402,2.3899121836519965,0.754073469969178,0.4996508256873729,1.3310858192107446,1.3998557187364504,1.9001585805637553
U Htaung Bo,2.3558540203124907,2.0791559900981214,1.8151771956617262,1.378497069308018,1.0565663413904738,1.2025931263733804,0.7579966157513934,0.0,0.42496962758582585,0.6706461093274013,0.6641225117720619,2.3926496487401168,2.135622737349293,1.8707546538658677,1.4384871884379153,0.6462484727853252,2.34615591729259,2.083557338438686,1.8068342472397365,1.5333436406830243,2.593682414543729,2.362700658914635,2.096944633028603,1.776759338221805,2.0301061961157,1.2621623529626045,1.0956246626255695,1.0650410187113806,1.9812370177519008,1.7796927416503965
Bahan 3 Lan,2.759688259785579,2.48193098978171,2.215875374818898,1.7734073259551826,1.4733214921640674,1.5837059693539388,1.1687593451716052,0.42496962758582585,0.0,0.8792819570203397,0.6614857951025466,2.777718131343076,2.5159440461831712,2.2445061263089516,1.7940223572361385,0.8074884753907678,2.7698418793470325,2.507826998058421,2.2314482478087605,1.9582764582786087,3.0061795043151585,2.7703798984008206,2.4953526913223696,2.0818006677277054,2.0687370631902438,1.6765771270465835,1.5195269797490574,1.2525868257124304,2.39621040173235,1.9743112742510585
Taung Phat Mote,2.507082350671094,2.2490650729851693,2.011104806528476,1.6366035236908896,1.2399851324885542,1.5292718430592254,1.0467737103001136,0.6706461093274013,0.8792819570203397,0.0,0.38517373930953086,2.621889006789921,2.392630198887668,2.162818058704113,1.8099272629490952,1.2966415309095365,2.329357932978666,2.064624170726409,1.792950582097152,1.5216584606480181,2.337396956558787,2.08293003562116,1.778203111304368,1.2161869883628087,1.3942548812959563,1.1021158437494265,1.0792107868344187,0.39528193869723727,1.765930324687202,1.1166273934820796
